position;velocity;angle;angular_velocity;action_0;action_1
-1.7759999999999998;-3.24;0.22679999999999995;3.4299999999999997;0.0;0.0
-1.68;-3.16;0.21000000000000002;3.29;0.0;0.0
-1.68;-3.0;0.15960000000000002;3.01;0.36000000000000004;0.0
-1.584;-3.24;0.24359999999999998;3.5700000000000003;0.0;0.0
-1.584;-3.16;0.2603999999999999;3.71;0.0;0.0
-1.584;-3.0;0.17640000000000006;3.29;0.2;0.0
-1.584;-2.84;0.10919999999999991;2.7300000000000004;0.2;0.0
-1.584;-2.84;0.21000000000000002;3.1500000000000004;0.0;0.0
-1.584;-2.84;0.22679999999999995;3.29;0.0;0.0
-1.584;-2.84;0.24359999999999998;3.29;0.0;0.0
-1.584;-2.76;0.09239999999999998;2.7300000000000004;0.236;0.0
-1.584;-2.76;0.22679999999999995;3.1500000000000004;0.0;0.0
-1.584;-2.6;0.05879999999999996;2.3099999999999996;0.2;0.0
-1.584;-2.6;0.05879999999999996;2.45;0.2;0.0
-1.584;-2.6;0.22679999999999995;2.87;0.0;0.0
-1.584;-2.6;0.2603999999999999;3.1500000000000004;0.0;0.0
-1.584;-2.44;0.22679999999999995;2.7300000000000004;0.0;0.0
-1.584;-2.44;0.24359999999999998;2.7300000000000004;0.0;0.0
-1.584;-2.44;0.2603999999999999;2.7300000000000004;0.0;0.0
-1.584;-2.44;0.2603999999999999;3.01;0.0;0.0
-1.584;-2.04;0.24359999999999998;2.3099999999999996;0.0;0.0
-1.488;-3.0;0.21000000000000002;3.29;0.2;0.0
-1.488;-2.84;0.12600000000000006;2.87;0.2;0.0
-1.488;-2.84;0.21000000000000002;3.1500000000000004;0.0;0.0
-1.488;-2.84;0.22679999999999995;3.29;0.0;0.0
-1.488;-2.84;0.24359999999999998;3.4299999999999997;0.0;0.0
-1.488;-2.84;0.2603999999999999;3.4299999999999997;0.0;0.0
-1.488;-2.84;0.27720000000000006;3.4299999999999997;0.0;0.0
-1.488;-2.76;0.14279999999999998;3.01;0.2;0.0
-1.488;-2.76;0.24359999999999998;3.29;0.0;0.0
-1.488;-2.76;0.2603999999999999;3.4299999999999997;0.0;0.0
-1.488;-2.68;0.17640000000000006;2.87;0.2;0.0
-1.488;-2.68;0.19319999999999998;3.01;0.2;0.0
-1.488;-2.68;0.22679999999999995;3.01;0.0;0.0
-1.488;-2.68;0.24359999999999998;3.01;0.0;0.0
-1.488;-2.68;0.24359999999999998;3.1500000000000004;0.0;0.0
-1.488;-2.68;0.2603999999999999;3.1500000000000004;0.0;0.0
-1.488;-2.68;0.2603999999999999;3.29;0.0;0.0
-1.488;-2.6;0.07559999999999995;2.59;0.2;0.0
-1.488;-2.6;0.15960000000000002;2.87;0.488;0.0
-1.488;-2.6;0.17640000000000006;2.87;0.488;0.0
-1.488;-2.6;0.19319999999999998;2.87;0.2;0.0
-1.488;-2.6;0.19319999999999998;3.01;0.0;0.36000000000000004
-1.488;-2.6;0.21000000000000002;3.01;0.36000000000000004;0.0
-1.488;-2.6;0.22679999999999995;3.01;0.0;0.0
-1.488;-2.6;0.22679999999999995;3.1500000000000004;0.0;0.0
-1.488;-2.6;0.24359999999999998;3.01;0.0;0.0
-1.488;-2.6;0.24359999999999998;3.1500000000000004;0.0;0.0
-1.488;-2.6;0.2603999999999999;3.1500000000000004;0.0;0.0
-1.488;-2.44;0.0252;2.0300000000000002;0.2;0.0
-1.488;-2.44;0.12600000000000006;2.59;0.36000000000000004;0.0
-1.488;-2.44;0.14279999999999998;2.59;0.38880000000000003;0.2
-1.488;-2.44;0.17640000000000006;2.59;0.2;0.0
-1.488;-2.44;0.17640000000000006;2.7300000000000004;0.2;0.0
-1.488;-2.44;0.17640000000000006;2.87;0.2;0.0
-1.488;-2.44;0.19319999999999998;2.7300000000000004;0.36000000000000004;0.0
-1.488;-2.44;0.19319999999999998;2.87;0.2;0.0
-1.488;-2.44;0.21000000000000002;2.87;0.2;0.0
-1.488;-2.44;0.22679999999999995;2.87;0.0;0.0
-1.488;-2.44;0.24359999999999998;2.87;0.0;0.0
-1.488;-2.44;0.24359999999999998;3.01;0.0;0.0
-1.488;-2.44;0.2603999999999999;3.01;0.0;0.0
-1.488;-2.44;0.2603999999999999;3.1500000000000004;0.0;0.0
-1.488;-2.36;0.008399999999999963;2.0300000000000002;0.2;0.0
-1.488;-2.36;0.19319999999999998;2.7300000000000004;0.2;0.0
-1.488;-2.36;0.21000000000000002;2.87;0.2;0.0
-1.488;-2.36;0.22679999999999995;2.87;0.0;0.0
-1.488;-2.36;0.24359999999999998;3.01;0.0;0.0
-1.488;-2.36;0.2603999999999999;2.7300000000000004;0.0;0.0
-1.488;-2.2800000000000002;0.17640000000000006;2.45;0.2;0.0
-1.488;-2.2800000000000002;0.19319999999999998;2.59;0.2;0.0
-1.488;-2.2800000000000002;0.21000000000000002;2.59;0.0;0.0
-1.488;-2.2800000000000002;0.21000000000000002;2.7300000000000004;0.0;0.67232
-1.488;-2.2800000000000002;0.22679999999999995;2.7300000000000004;0.0;0.0
-1.488;-2.2800000000000002;0.22679999999999995;2.87;0.0;0.0
